name,population,local_gove,long,lat
Mount Mowbullan,81,South Burnett Regional,151.5979955,-26.8826609999999
Mundoo,108,Cassowary Coast Regional,146.0167785,-17.5584635
Toomulla,205,Townsville City,146.471729,-19.0803079999999
Tuan,125,Fraser Coast Regional,152.8765705,-25.6816249999999
West Point,35,Townsville City,146.783055,-19.1328384999999
Woolooga,58,Gympie Regional,152.3923345,-26.053459
Wowan,152,Banana Shire,150.1963035,-23.9099165
Yungaburra,965,Tablelands Regional,145.583941,-17.2711485
Poona,384,Fraser Coast Regional,152.9158005,-25.7179825
Agnes Water,668,Gladstone Regional,151.9006665,-24.207953
St Helens Beach,124,Mackay Regional,148.8380855,-20.831878
Bargara,6893,Bundaberg Regional,152.460532,-24.8223404999999
Clare,94,Burdekin Shire,147.227924,-19.7838735
Southend,270,Gladstone Regional,151.3103905,-23.7566704999999
Gatcombe,50,Gladstone Regional,151.3741885,-23.8786845
Farmers Point,50,Gladstone Regional,151.326295,-23.7752715
Bluewater Beach,574,Townsville City,146.5983325,-19.1508529999999
Cungulla,260,Townsville City,147.1088685,-19.3964535
Greenhill,498,Isaac Regional,149.4515195,-21.6825739999999
Ilbilbie,314,Isaac Regional,149.356982,-21.7043224999999
Lakeland,227,Cook Shire,144.8561775,-15.8590814999999
Miara,144,Bundaberg Regional,152.168021,-24.6883725
Port Stewart,25,Cook Shire,143.6842605,-14.0700249999999
Tansey,32,Gympie Regional,152.0439635,-26.0258024999999
Tawan,6,Fraser Coast Regional,152.9352865,-25.7463465
Tirroan,40,Bundaberg Regional,151.929512,-25.002151
Charters Towers,8138,Charters Towers Regional,146.2615145,-20.0766399999999
Clairview,80,Isaac Regional,149.528721,-22.1081105
Half Tide,800,Mackay Regional,149.292423,-21.3043185
Midge Point,254,Mackay Regional,148.721271,-20.649349
Mount Ossa,240,Mackay Regional,148.8341335,-20.9594074999999
Rollingstone,207,Townsville City,146.3913945,-19.044136
Sellheim,50,Charters Towers Regional,146.413507,-20.0062189999999
Whitsunday,10000,Whitsunday Regional,148.717674,-20.2753979999999
Alva,211,Burdekin Shire,147.4813195,-19.455406
Mirriwinni,221,Cairns Regional,145.90921,-17.3989354999999
Aramara,20,Fraser Coast Regional,152.3215935,-25.611614
Booyal,150,Bundaberg Regional,152.0400555,-25.2093235
Buchan,148,Cairns Regional,145.66508,-16.7373959999999
Grasstree,989,Mackay Regional,149.2920525,-21.361575
Japoon,350,Cassowary Coast Regional,145.93863,-17.7192904999999
Kairi,193,Tablelands Regional,145.5437415,-17.2155945
Kinbombi,22,Gympie Regional,152.1223565,-26.1967344999999
Lowmead,225,Gladstone Regional,151.754234,-24.5304015
Millchester,380,Charters Towers Regional,146.2902135,-20.0875374999999
Nielson Park,175,Bundaberg Regional,152.455147,-24.8089004999999
Pentland,250,Charters Towers Regional,145.3995635,-20.5237885
Port Alma,20,Rockhampton Regional,150.8617575,-23.5831145
South Yaamba,50,Livingstone Shire,150.399776,-23.198775
Napranum,852,Napranum Aboriginal Shire,141.887954,-12.6816249999999
Newell,328,Douglas Shire,145.405964,-16.4237709999999
Peeramon,30,Tablelands Regional,145.614691,-17.3079275
Pormpuraaw,662,Pormpuraaw Aboriginal Shire,141.620775,-14.8997409999999
Proston,250,South Burnett Regional,151.6005465,-26.1606705
Rainbow Beach,1103,Gympie Regional,153.090142,-25.906443
Ravenswood,164,Charters Towers Regional,146.890064,-20.0988404999999
Rosslyn,1131,Livingstone Shire,150.7740995,-23.1670344999999
Saunders Beach,409,Townsville City,146.607125,-19.1574659999999
South Mission Beach,775,Cassowary Coast Regional,146.091128,-17.944001
Springsure,839,Central Highlands Regional,148.088626,-24.1162424999999
Tannum Sands,5254,Gladstone Regional,151.368137,-23.9480915
Taroom,585,Banana Shire,149.7984725,-25.6404434999999
The Caves,260,Livingstone Shire,150.4613525,-23.1756804999999
Theodore,452,Banana Shire,150.0757965,-24.946269
Boyne Island,4406,Gladstone Regional,151.3527435,-23.9513004999999
Bucasia,4257,Mackay Regional,149.15985,-21.0311075
Bullyard,43,Bundaberg Regional,152.0604545,-24.9525009999999
Calliope,3058,Gladstone Regional,151.2017855,-24.0056789999999
Campwin Beach,575,Mackay Regional,149.3142135,-21.3772804999999
Cardwell,1176,Cassowary Coast Regional,146.024893,-18.265594
Ceratodus,26,North Burnett Regional,151.143607,-25.2909534999999
