proud_world_heritage,asset,identity,quality_of_life,aesthetic,love_live_beside,NRM
10,10,1,10,7,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,8,10,Burdekin
7,5,5,7,5,10,Burdekin
10,10,5,5,10,9,Burdekin
10,10,10,10,10,10,Burdekin
10,5,,,,10,Burdekin
10,10,5,8,10,10,Burdekin
10,10,5,7,10,10,Burdekin
10,10,2,10,10,10,Burdekin
10,10,3,3,10,8,Burdekin
10,8,10,10,8,9,Burdekin
10,10,8,9,8,10,Burdekin
8,8,3,2,7,8,Burdekin
10,10,10,10,10,10,Burdekin
9,9,8,5,3,10,Burdekin
10,10,10,7,10,10,Burdekin
10,10,6,6,10,10,Burdekin
10,10,3,7,9,6,Burdekin
10,10,9,10,10,10,Burdekin
10,10,1,1,10,1,Burdekin
10,10,8,8,10,,Burdekin
10,10,6,9,9,7,Burdekin
7,10,9,9,9,10,Burdekin
10,7,5,4,7,,Burdekin
10,10,7,8,10,10,Burdekin
10,9,5,4,9,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,10,10,8,10,Burdekin
10,10,4,7,10,6,Burdekin
10,10,3,3,9,9,Burdekin
10,10,5,10,10,10,Burdekin
10,10,5,10,,10,Burdekin
10,10,6,7,9,9,Burdekin
10,10,4,10,7,8,Burdekin
9,10,,6,10,,Burdekin
8,10,9,9,10,10,Burdekin
8,8,6,7,9,8,Burdekin
10,10,8,7,10,10,Burdekin
8,10,5,4,10,10,Burdekin
10,10,10,10,10,10,Burdekin
10,10,7,5,10,10,Burdekin
10,10,3,1,9,8,Burdekin
10,10,8,10,10,10,Burdekin
10,10,6,6,10,9,Burdekin
10,10,8,10,10,10,Burdekin
8,6,2,7,7,9,Burdekin
10,10,6,10,10,10,Burdekin
6,10,6,6,10,6,Burdekin
10,10,10,10,3,10,Burdekin
10,7,1,1,9,10,Burdekin
10,10,10,10,10,3,Burdekin
10,10,8,10,10,10,Burdekin
8,8,6,3,5,5,Burdekin
